title_ru,title_en,images,description,characteristics
Вербейник монетчатый,Lysimachia nummularia,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/resize_cache/uf/33d/556_556_2/ixb949jofxam3ebfqpej8icjqgg37n7f.jpg; /upload/resize_cache/uf/18d/556_556_2/1m97pymq0oeln6s57m0edza906ng53rr.jpg; /upload/resize_cache/iblock/ad6/355_247_2/z0b3xa2dnt28z67bjgqj8dxqmde0x3ok.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Многолетнее почвопокровное, крайне неприхотливое растение с лежачим стеблем до 15–20 см длиной. Способен образовывать ковровый покров не только на горизонтальной поверхности, но и на достаточно крутых склонах. Особенно хорош для декорирования берегов водоемов, так как его длинные свисающие побеги могут плавать по поверхности воды. Листья овальные, на коротком черешке, длиной до 2,5 см. Цветки желтые, одиночные, пазушные, мелкие; цветет в VІІ.","Синонимы

																					Луговой чай																			


Группа

																													Многолетние																			


Световой режим






Зона зимостойкости

																																																	4																
																											


Период цветения

																																																	VII																
																											


Норма растений шт/м2

																					6																			


Норма посадки

6 шт/м2. 


Примечание

довольно хорошо переносит засуху, способен выносить длительное затопление, устойчив к скашиванию и вытаптыванию. Имеется желтолистный сорт ‘Aurea’, который предпочитает солнечное местоположение."
Вербейник реснитчатый,Lysimachia ciliata,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/resize_cache/uf/62d/556_556_2/g2tgys14a084g1dfels1h7hot4ctj7ta.jpg; /upload/resize_cache/iblock/48a/355_247_2/rdeqpbctow3cizhbag3bjksesgnho481.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Неприхотливое многолетнее растение высотой до 50 см, листья овально-ланцетные, заостренные. Цветки лимонно-желтые, колокольчатые, на длинных цветоножках, собраны в рыхлые соцветия; цветет в VІІІ–ІХ. Имеет широкое применение, в том числе для озеленения водоемов. Широко распространен сорт ‘Firecracker’.","Группа

																													Многолетние																			


Световой режим





Зона зимостойкости

																																																	5																
																											


Период цветения

																																																	VIII																
																																				IX																
																											


Норма растений шт/м2

																					6"
Вербейник точечный,Lysimachia punctata,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/resize_cache/uf/c4d/556_556_2/2137kazv247puyimsreu8m80vghovn4s.jpg; /upload/resize_cache/uf/571/556_556_2/8qeg2ydjeuh9nv3u2i2qqdq413vvmohr.jpg; /upload/resize_cache/iblock/80e/355_247_2/h045zumsk9ilzqh20b5yo5l1z6are26g.jpg; /upload/images/no_photo_355_247.jpg; /upload/resize_cache/iblock/a20/355_247_2/a31u0r6bzlg1qs87qwa960venyp6jau2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Один из самых неприхотливых многолетников, одинаково хорошо развивающийся как на солнце, так и в полутени. Буквально за пару лет маленькая деленка может превратиться в шикарный куст. Высотой до 50–60 см, листья широколанцетные, зеленые. Цветки многочисленные, лимонно-желтые, попарно расположенные в пазухах листьев; цветет в VІ–VІІ. После обрезки отцветших цветоносов до зимы куст вербейника будет радовать сочной зеленью. Предпочитает плодородные, хорошо дренированные, влажные почвы. Длительность выращивания на одном месте: 4–5 лет. Растение сильно разрастается за счет подземных столонов.","Группа

																													Многолетние																			


Световой режим






Зона зимостойкости

																																																	5																
																											


Период цветения

																																																	VI																
																																				VII																
																											


Норма растений шт/м2

																					4-6																			


Местоположение

светлое, возможно в полутени.



Норма посадки

4–6 шт/м2. 


Способы и сроки размножения

делением куста весной или осенью.



Применение

миксбордеры, группы, опушки, у водоема.



Партнеры

осоки, папоротники, ирисы, астильба, клопогон, бадан, тиарелла."
Вероника австрийская,Veronica austriaca = V. teucrium,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/uf/33e/w18ee0esv2wfs5p0a0y0lkornegoi776.jpg; /upload/resize_cache/iblock/ac5/355_247_2/k09jai0oh7ozmv9x00vrod9852xi5ywg.jpg; /upload/resize_cache/iblock/e97/355_247_2/v14yyimvhsyt57h00yhwzj5gqrseblgs.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Многолетнее травянистое растение, в местах естественного обитания произрастающее в степях, по каменистым местам, в сухих лесах. Высотой до 30–70 см. Листья яйцевидные или ланцетные, простоперистораздельные; цветки ярко-синие, мелкие, собраны в удлиненные кистевидные соцветия; цветет в V–VІ. Не переносит переувлажненных почв. Партнеры: хорошо сочетается с шалфеями и колокольчиками, мелколепестником, флоксами, котовником, другими верониками. Ценится за очень яркий синий цвет.","Синонимы

																					Вероника большая																			


Группа

																													Многолетние																			


Световой режим





Зона зимостойкости

																																																	3																
																											


Период цветения

																																																	V																
																																				VI																
																											


Норма растений шт/м2

																					9"
Вероника гибридная,Veronica × hybrida,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/resize_cache/uf/529/556_556_2/nsr2w1744snkg7fhzcl0cncma8y1mm3q.jpg; /upload/resize_cache/uf/529/355_247_2/nsr2w1744snkg7fhzcl0cncma8y1mm3q.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Под таким названием объединены сорта и гибриды сложного происхождения. Отличаются от видовых растений окраской соцветий и высотой. Листья удлиненно-овальные, собраны в мутовки; цветки мелкие, собраны в кистевидное соцветие.","Группа

																													Многолетние																			


Световой режим





Зона зимостойкости

																																																	4																
																											


Период цветения

																																																	VII																
																																				VIII																
																											


Норма растений шт/м2

																					9-11"
Вероника горечавковая,Veronica gentianoides,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/resize_cache/uf/efc/556_556_2/q8kbgnfmp8haf01x3jdx5r9rjhics6ps.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Низкое травянистое растение до 45 см во время цветения, образующее подушковидные кустики. Замечательное растение для рокария. Большинство розеточных листьев перезимовывают, новые отрастают в V. Декоративна до осени. Листья ланцетные, кожистые, собраны в прикорневую розетку. Цветки бледно-голубые, беловатые с темно-синими прожилками, мелкие, собраны в рыхлые многоцветковые колосовидные соцветия; цветет в VІ.","Группа

																													Многолетние																			


Световой режим





Зона зимостойкости

																																																	4																
																											


Период цветения

																																																	VI																
																											


Норма растений шт/м2

																					9"
Вероника длиннолистная,Veronica longifolia,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/resize_cache/uf/d11/556_556_2/xobjnuw8twbirbvupw1urtrgng2rars3.jpg; /upload/resize_cache/iblock/323/355_247_2/84i9wu09i0epb7v10ep1qcdmmwxvcwry.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Не только декоративное, но и полезное растение для сада — прекрасный медонос, привлекает бабочек. Листья удлиненные, широколанцетовидные, при основании округлые. Цветки мелкие, собраны в кистевидное соцветие. На одном растении развивается до 500–700 цветков. После обрезки цветоносов возможно повторное цветение осенью.","Группа

																													Многолетние																			


Световой режим





Зона зимостойкости

																																																	4																
																											


Период цветения

																																																	VI																
																																				VII																
																																				VIII																
																											


Норма растений шт/м2

																					9"
Вероника колосовая,Veronica spicata,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/resize_cache/uf/5e2/556_556_2/a65axvo3rh5j6lzrmtdv5pib62ml91c5.jpg; /upload/resize_cache/uf/6d5/556_556_2/csan5uri3wmxphk8dxpsfhvb8hernx01.jpg; /upload/resize_cache/iblock/be1/355_247_2/lwwbc4rf1rss0lmr4um0khy3b96yxh4t.jpg; /upload/resize_cache/iblock/179/355_247_2/m1iny52ly3uykvxp1i2t2avuf22og9tx.jpg; /upload/images/no_photo_355_247.jpg; /upload/resize_cache/iblock/8c2/355_247_2/8a732pqevllanwt0cchthc71tzt1cd2i.jpg; /upload/resize_cache/iblock/9f7/355_247_2/cgy8s3c8cph19nkqqvvrc0gghk4br6jj.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Ценится за свою небольшую высоту: до 40–50 см. Образует кусты с одиночными или малочисленными стеблями. Нижние листья черешчатые, продолговатые или яйцевидно-округлые, верхние — сидячие. Засухоустойчива, но переувлажнение переносит.","Группа

																													Многолетние																			


Световой режим





Зона зимостойкости

																																																	3																
																											


Период цветения

																																																	VI																
																																				VII																
																																				VIII																
																											


Норма растений шт/м2

																					9"
Вероника ползучая,Veronica repens,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/resize_cache/uf/fe4/556_556_2/nqlr9uy8r7kwi67zo4u7to826ruhp10l.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"По сути своей — сорное растение, но при правильном использовании имеет массу достоинств. Пригодна для задернения почвы под деревьями, при этом не мешает развиваться их корням. Достаточно засухоустойчива, плотный зеленый ковер радует глаз с ранней весны до поздней осени. Высотой не более 10–15 см, листья мелкие, округлые или яйцевидные, на верхушке тупые, цельнокрайние или по краю неясно тупо-зубчатые или городчатые. Цветки голубые, мелкие, собраны в верхушечные и боковые рыхлые пазушные кисти; цветет в V. Есть формы с белыми и розовыми цветками.","Группа

																													Многолетние																			


Световой режим





Зона зимостойкости

																																																	3																
																											


Период цветения

																																																	V																
																											


Норма растений шт/м2

																					4-5																			


Примечание

пригодна для создания газонного покрытия, устойчива к вытаптыванию, не требует скашивания, хорошо растет между плиточным покрытием. Попав в цветник, может превратиться в злостный сорняк."
Вероника простертая,Veronica prostrata,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/resize_cache/uf/11f/556_556_2/719tx3q2aid5p5vvu5pivltd2ejkthvd.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Низкорослое растение высотой до 10 см, лежачие стебли не укореняются по всей длине, как у настоящих почвопокровных растений, но, полегая, образуют плотный коврик. Листья мелкие, ланцетные с зубчатым краем. Цветки голубые, мелкие, собраны в рыхлые небольшие колоски на верхушках приподнимающихся побегов; цветет в V–VІ. Зимует с зелеными листьями, которые ранней весной приобретают красно-коричневую окраску. Хорошо смотрится среди камней и инертного материала.","Группа

																													Многолетние																			


Световой режим





Зона зимостойкости

																																																	4																
																											


Период цветения

																																																	V																
																																				VI																
																											


Норма растений шт/м2

																					6"
Вероника седая,Veronica incana = V. spicata subsp. incana,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/resize_cache/uf/217/556_556_2/oo2bwmtnrdg3sfpii7j86237p5y934mq.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Замечательное засухоустойчивое растение, предпочитает известковые почвы и хорошо освещенные участки. Стабильно декоративна за счет сероватого или густо-бело-войлочного опушения листьев. Высотой 20–45 (до 60) см, листья продолговато-яйцевидные или ланцетные, острогородчатые. Цветки ярко-синие, мелкие, тесно собраны в одиночные колосовидные кисти; цветет в VІІ–VІІІ.","Группа

																													Многолетние																			


Световой режим





Зона зимостойкости

																																																	3																
																											


Период цветения

																																																	VII																
																																				VIII																
																											


Норма растений шт/м2

																					9-11"
